7,16,44,25,14,11,01/01/2012
39,42,8,30,17,15,05/01/2012
44,4,31,32,39,2,08/01/2012
36,25,23,1,13,17,12/01/2012
28,23,19,20,32,5,15/01/2012
20,6,11,44,41,7,19/01/2012
38,26,30,8,36,13,22/01/2012
20,11,12,7,26,19,26/01/2012
5,32,29,1,37,10,29/01/2012
21,26,38,30,28,14,02/02/2012
37,14,25,4,38,7,05/02/2012
27,18,22,41,35,20,09/02/2012
21,24,29,20,12,12,12/02/2012
30,34,15,13,20,13,16/02/2012
31,26,39,11,41,10,19/02/2012
27,14,35,11,6,3,23/02/2012
14,42,9,38,8,15,26/02/2012
36,2,35,18,37,9,01/03/2012
12,20,28,33,34,2,04/03/2012
31,40,4,7,24,15,08/03/2012
19,23,15,42,43,6,11/03/2012
37,7,45,18,1,10,15/03/2012
33,25,2,41,8,6,18/03/2012
32,11,18,38,21,14,22/03/2012
19,11,17,30,24,1,24/03/2012
1,14,44,9,20,7,29/03/2012
7,35,41,22,40,5,01/04/2012
8,39,15,1,41,18,05/04/2012
28,2,3,35,17,2,08/04/2012
28,34,23,4,42,7,11/04/2012
45,27,29,1,25,15,14/04/2012
37,16,24,44,21,4,19/04/2012
12,19,21,27,32,2,22/04/2012
32,19,22,17,18,7,26/04/2012
37,16,32,3,35,3,29/04/2012
2,29,10,43,14,17,03/05/2012
7,5,2,1,34,18,06/05/2012
34,1,33,19,24,1,10/05/2012
19,11,43,45,13,17,13/05/2012
26,44,22,14,6,13,17/05/2012
38,12,43,11,4,16,20/05/2012
19,29,13,9,35,11,24/05/2012
34,13,28,32,6,4,27/05/2012
43,44,28,38,26,5,31/05/2012
23,8,27,24,35,13,03/06/2012
6,35,34,4,2,18,07/06/2012
45,8,1,5,11,11,10/06/2012
44,31,14,38,13,11,14/06/2012
24,34,45,27,39,16,17/06/2012
10,31,16,36,4,14,21/06/2012
12,16,6,7,29,13,24/06/2012
32,9,21,26,40,2,28/06/2012
34,19,5,6,18,20,01/07/2012
25,5,40,28,29,7,05/07/2012
43,24,26,37,17,14,08/07/2012
42,34,1,8,14,14,12/07/2012
42,26,32,19,31,8,15/07/2012
27,40,35,5,14,6,19/07/2012
37,43,33,28,32,5,22/07/2012
45,18,41,13,2,4,26/07/2012
4,41,6,1,10,8,29/07/2012
40,20,32,37,1,7,02/08/2012
29,21,25,7,10,19,05/08/2012
29,43,38,6,25,4,09/08/2012
21,9,22,41,15,6,12/08/2012
21,5,15,20,30,2,16/08/2012
28,5,11,30,21,13,19/08/2012
1,35,2,13,39,17,23/08/2012
16,25,27,8,2,1,26/08/2012
43,12,25,18,41,20,30/08/2012
36,44,24,33,19,13,02/09/2012
42,31,24,13,45,2,06/09/2012
34,29,25,14,38,4,09/09/2012
7,4,6,28,41,8,13/09/2012
43,32,9,5,45,14,16/09/2012
26,31,33,42,41,20,20/09/2012
38,7,27,43,45,15,23/09/2012
35,4,39,36,27,12,27/09/2012
31,15,32,37,27,20,30/09/2012
3,44,2,20,7,4,04/10/2012
22,43,28,21,32,10,07/10/2012
42,15,26,14,17,14,11/10/2012
24,11,18,14,31,11,14/10/2012
10,35,29,12,37,19,17/10/2012
45,17,38,32,35,19,21/10/2012
6,14,1,26,45,14,25/10/2012
19,4,23,11,35,12,27/10/2012
37,11,45,42,17,20,01/11/2012
12,7,18,11,45,4,04/11/2012
45,33,32,6,13,14,11/11/2012
28,40,20,33,4,1,15/11/2012
29,22,32,1,28,5,18/11/2012
36,5,41,7,13,2,22/11/2012
25,37,31,5,10,5,25/11/2012
21,23,31,26,29,11,29/11/2012
23,30,37,36,11,17,02/12/2012
24,4,2,27,7,4,06/12/2012
21,8,17,13,7,16,09/12/2012
20,29,5,36,22,17,13/12/2012
24,27,13,18,23,6,16/12/2012
26,36,33,23,30,7,20/12/2012
12,3,9,39,23,4,23/12/2012
37,29,16,27,40,1,27/12/2012
26,45,3,5,43,13,30/12/2012
18,20,44,28,40,7,03/01/2013
31,25,24,13,41,9,06/01/2013
2,26,16,13,10,4,11/01/2013
28,32,2,21,3,3,13/01/2013
9,3,19,32,28,2,17/01/2013
22,19,3,7,35,4,20/01/2013
32,13,35,20,14,8,24/01/2013
30,4,21,19,8,11,27/01/2013
28,25,39,44,18,16,31/01/2013
1,15,21,11,18,15,03/02/2013
26,27,19,35,42,10,07/02/2013
33,4,21,37,13,5,10/02/2013
41,9,7,45,8,17,14/02/2013
28,45,25,19,38,19,17/02/2013
44,45,10,15,30,2,21/02/2013
26,22,17,29,24,5,24/02/2013
4,11,37,6,15,19,28/02/2013
7,37,27,30,15,7,03/03/2013
41,1,24,45,37,9,07/03/2013
7,1,23,21,44,8,10/03/2013
