2,9,33,36,41,20,01/01/2015
1,2,8,9,24,6,04/01/2015
10,17,25,38,39,7,08/01/2015
24,26,32,36,44,7,11/01/2015
7,8,10,11,30,15,15/01/2015
1,24,27,32,40,18,18/01/2015
24,25,30,31,42,16,22/01/2015
8,14,25,28,37,9,25/01/2015
9,12,13,31,36,17,29/01/2015
1,5,29,32,43,15,01/02/2015
13,30,35,44,45,10,05/02/2015
5,6,15,24,44,8,08/02/2015
6,8,10,14,19,3,12/02/2015
17,31,33,37,43,18,15/02/2015
14,19,38,39,40,18,19/02/2015
2,18,20,34,42,20,22/02/2015
4,16,20,28,39,11,26/02/2015
4,12,22,28,42,16,01/03/2015
2,3,17,33,41,17,05/03/2015
1,2,20,21,35,2,08/03/2015
4,14,20,32,36,2,12/03/2015
5,9,16,33,36,19,15/03/2015
3,20,28,32,44,1,19/03/2015
10,13,24,38,45,8,22/03/2015
4,13,19,28,44,11,26/03/2015
6,20,31,36,42,3,29/03/2015
3,17,19,34,44,10,02/04/2015
7,20,21,31,32,8,05/04/2015
15,33,34,39,40,10,08/04/2015
15,17,21,29,38,2,11/04/2015
2,12,22,34,39,13,16/04/2015
4,13,24,42,45,15,19/04/2015
20,22,28,29,37,17,23/04/2015
6,13,26,27,40,16,26/04/2015
21,31,38,39,43,10,30/04/2015
1,11,23,25,29,17,03/05/2015
21,26,29,40,44,4,07/05/2015
7,16,19,36,39,2,10/05/2015
16,17,18,20,38,3,14/05/2015
5,7,9,33,40,7,17/05/2015
16,19,33,41,44,17,21/05/2015
2,20,27,36,44,7,24/05/2015
12,32,34,36,42,16,28/05/2015
16,19,29,38,39,11,31/05/2015
10,12,17,31,40,4,04/06/2015
6,23,24,42,45,15,07/06/2015
3,15,23,36,38,9,11/06/2015
16,21,23,25,31,10,14/06/2015
17,20,34,40,44,13,18/06/2015
3,28,29,35,43,6,21/06/2015
19,22,23,32,41,16,25/06/2015
1,11,16,39,42,3,28/06/2015
16,32,35,37,39,8,02/07/2015
13,21,23,29,38,18,05/07/2015
9,16,24,26,39,17,09/07/2015
6,18,40,41,43,11,12/07/2015
3,5,27,33,36,7,16/07/2015
2,18,24,27,39,9,19/07/2015
3,6,8,25,39,19,23/07/2015
13,27,29,34,44,1,26/07/2015
17,22,29,31,44,4,30/07/2015
7,9,22,24,35,5,02/08/2015
5,16,24,29,33,15,06/08/2015
3,4,21,22,32,4,09/08/2015
5,19,24,41,44,11,13/08/2015
10,20,28,32,44,3,16/08/2015
3,5,9,14,21,10,20/08/2015
5,11,20,25,26,3,23/08/2015
12,18,27,30,42,7,27/08/2015
7,23,29,41,43,18,30/08/2015
