4,7,20,31,40,12
3,9,17,34,43,4
19,25,27,28,32,6
1,12,16,26,43,3
1,8,24,28,44,3
3,17,22,41,42,2
4,7,12,38,40,12
12,21,29,32,44,11
21,23,26,28,30,9
5,6,22,38,44,1
4,5,10,18,42,19
22,26,35,41,42,19
2,17,25,30,35,7
8,11,12,18,38,8
3,6,10,40,45,10
1,10,17,26,34,10
14,19,27,32,43,9
1,4,33,40,45,15
17,19,20,31,35,7
1,25,27,42,43,7
14,23,30,41,44,6
14,16,32,38,39,16
3,11,15,27,33,5
14,18,19,26,30,19
1,12,17,23,33,1
6,24,33,41,43,6
6,23,24,26,30,4
3,5,11,27,35,11
3,17,38,39,42,18
4,6,8,30,45,6
15,17,26,30,37,1
6,14,18,26,35,2
5,16,17,24,31,8
14,28,31,41,42,1
9,20,22,31,40,19
13,25,30,40,44,3
9,12,15,28,31,2
9,11,14,16,24,14
22,24,25,31,37,7
13,16,21,24,30,1
15,16,34,37,44,9
2,7,10,16,40,17
11,13,16,39,44,17
1,8,18,27,42,16
2,7,9,11,39,16
6,10,30,35,41,6
20,21,28,44,45,8
4,7,9,19,34,13
3,21,25,35,42,20
4,19,24,40,44,17
4,19,20,22,41,3
5,12,19,22,34,5
7,14,24,33,38,3
3,4,13,28,42,17
2,14,17,22,28,6
4,14,15,29,31,5
9,24,29,36,42,15
7,8,9,25,32,4
3,9,16,33,36,18
11,12,27,41,43,7
6,12,13,20,39,5
11,15,20,23,36,3
6,8,16,20,43,18
10,21,29,31,34,18
7,25,27,36,44,3
18,19,25,34,36,17
19,21,25,31,41,13
4,5,8,13,14,9
1,11,29,36,41,11
17,23,25,33,40,12
2,7,14,23,37,18
4,7,23,30,35,16
5,13,18,24,35,10
1,6,14,34,41,9
8,9,14,29,43,3
6,9,11,26,42,19
10,14,15,37,43,16
2,19,30,31,40,6
11,12,17,35,36,13
14,17,19,21,41,20
3,9,16,33,40,2
6,8,21,29,45,10
2,6,13,16,43,10
6,13,18,23,45,12
1,26,32,37,38,9
5,7,13,17,37,2
10,18,19,29,32,17
5,9,16,39,42,12
9,14,20,24,30,16
1,3,16,23,30,10
14,15,18,39,42,11
1,27,39,41,42,18
5,15,16,29,44,7
18,24,25,28,32,18
5,9,15,22,42,10
1,4,18,20,34,12
1,28,35,37,41,7
23,37,39,40,44,4
6,25,35,37,38,11
7,10,27,29,37,12
11,18,19,28,39,7
6,13,30,31,35,9
2,16,34,44,45,5
1,9,21,28,38,2
